district,chiefdom,phu,facility_type,community,population_2023,dp_name,dp_type
Bo District,Baoma Chiefdom,Jormu (Baoma) MCHP,MCHP,Jormu,930,Jormu MCHP,Fixed
Bo District,Baoma Chiefdom,Jormu (Baoma) MCHP,MCHP,Maina,511,Ngualu Court Barry,Outreach
Bo District,Baoma Chiefdom,Jormu (Baoma) MCHP,MCHP,Ngualu,473,Ngualu Court Barry,Outreach
Bo District,Baoma Chiefdom,Jormu (Baoma) MCHP,MCHP,Tongie,546,Jormu MCHP,Fixed
Bo District,Baoma Chiefdom,Kigbai MCHP,MCHP,Kanga,514,Kigbai MCHP,Fixed
Bo District,Baoma Chiefdom,Kigbai MCHP,MCHP,Kigbai,1028,Kigbai MCHP,Fixed
Bo District,Baoma Chiefdom,Kigbai MCHP,MCHP,Koyama,744,Kigbai MCHP,Fixed
Bo District,Baoma Chiefdom,Kigbai MCHP,MCHP,Sawulla,1117,Sawulla Court Barry,Outreach
Bo District,Baoma Chiefdom,Kpunbu MCHP,MCHP,,,,
Bo District,Baoma Chiefdom,Mbundorbu MCHP,MCHP,Buma,925,Komende Sewa Court Barry,Outreach
Bo District,Baoma Chiefdom,Mbundorbu MCHP,MCHP,Komende Junction,495,Mbundorbu MCHP,Fixed
Bo District,Baoma Chiefdom,Mbundorbu MCHP,MCHP,Komende Sewa,598,Komende Sewa Court Barry,Outreach
Bo District,Baoma Chiefdom,Mbundorbu MCHP,MCHP,Kpakru,675,Mbundorbu MCHP,Fixed
Bo District,Baoma Chiefdom,Mbundorbu MCHP,MCHP,Mbundorbu,1050,Mbundorbu MCHP,Fixed
Bo District,Baoma Chiefdom,Pelewahun (Baoma) MCHP,MCHP,Gbinima,278,Taninahun Court Barry,Outreach
Bo District,Baoma Chiefdom,Pelewahun (Baoma) MCHP,MCHP,Pelewahun,1331,Pelewahun MCHP,Fixed
Bo District,Baoma Chiefdom,Pelewahun (Baoma) MCHP,MCHP,Taninahun,1025,Taninahun Court Barry,Outreach
Bo District,Baoma Chiefdom,Pelewahun (Baoma) MCHP,MCHP,Tongiama,509,Pelewahun MCHP,Fixed
Bo District,Baoma Chiefdom,Tugbebu CHP,CHP,Feikundor,207,Tungbebu CHP,Fixed
Bo District,Baoma Chiefdom,Tugbebu CHP,CHP,Gboyeiya,545,Niama Court Barray,Outreach
Bo District,Baoma Chiefdom,Tugbebu CHP,CHP,Kpatobu,544,Tungbebu CHP,Fixed
Bo District,Baoma Chiefdom,Tugbebu CHP,CHP,Niama,592,Niama Court Barray,Outreach
Bo District,Baoma Chiefdom,Tugbebu CHP,CHP,Sandia,380,Tungbebu CHP,Fixed
Bo District,Baoma Chiefdom,Tugbebu CHP,CHP,Semibu,214,Niama Court Barray,Outreach
Bo District,Baoma Chiefdom,Tugbebu CHP,CHP,Tungbebu,667,Tungbebu CHP,Fixed
Bo District,Baoma Chiefdom,Yakaji MCHP,MCHP,Gbangba,492,Matema Court Barray,Outreach
Bo District,Baoma Chiefdom,Yakaji MCHP,MCHP,Juhun,1718,Yakaji MCHP,Fixed
Bo District,Baoma Chiefdom,Yakaji MCHP,MCHP,Matema,727,Matema Court Barray,Outreach
Bo District,Baoma Chiefdom,Yakaji MCHP,MCHP,Pelewahun,641,Yakaji MCHP,Fixed
Bo District,Baoma Chiefdom,Yakaji MCHP,MCHP,Yakaji,1598,Yakaji MCHP,Fixed
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Kortumahun,410,Kortumahun Court Barray,Outreach
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Kpumbu,588,Kpumbu MCHP,Outreach
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Manowa,299,Kpumbu MCHP,Outreach
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Ndogbogoma,513,Ndogbogoma Court Barray,Outreach
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Njaluahun,220,Kortumahun Court Barray,Outreach
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Sengama,65,Ndogbogoma Court Barray,Outreach
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Vaahun,239,Kpumbu MCHP,Outreach
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Yamandu 1,1705,Yamandu CHC,Fixed
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Yamandu 2,1130,Yamandu CHC,Fixed
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Yamandu 3,1795,Yamandu CHC,Fixed
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Yamandu 4,1577,Ndogbogoma Court Barray,Outreach
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Barleh,200,Barleh Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Bum-Kaku,550,Bum-Kaku MCHP,Fixed
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Fakaba,100,Barleh Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Gballeh,430,Bum-Kaku MCHP,Fixed
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Gbatorma,320,Gbatorma Court Barray,Outreach
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Kenema,62,Bum-Kaku MCHP,Fixed
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Kponima,100,Gbatorma Court Barray,Outreach
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Mandu,230,Barleh Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Mosondo,100,Barleh Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Torkpumbu2,98,Bum-Kaku MCHP,Fixed
Bo District,Bargbo Chiefdom,Gbangbalia MCHP,MCHP,Baoma,433,Kpangbalia MCHP,Fixed
Bo District,Bargbo Chiefdom,Gbangbalia MCHP,MCHP,Fabaina,152,Kpangbalia MCHP,Fixed
Bo District,Bargbo Chiefdom,Gbangbalia MCHP,MCHP,Kpangbalia Village,756,Kpangbalia MCHP,Fixed
Bo District,Bargbo Chiefdom,Gbangbalia MCHP,MCHP,Morgbain,186,Kpangbalia MCHP,Fixed
Bo District,Bargbo Chiefdom,Gbangbalia MCHP,MCHP,Mowonde,199,Kpangbalia MCHP,Fixed
Bo District,Bargbo Chiefdom,Gbangbalia MCHP,MCHP,Nyandehun,530,Kpangbalia MCHP,Fixed
Bo District,Bargbo Chiefdom,Gbangbalia MCHP,MCHP,Senehun Somba,510,Kpangbalia MCHP,Fixed
Bo District,Bargbo Chiefdom,Jimmi CHC,CHC,Jimmi Town,2397,Jimmi CHC,Fixed
Bo District,Bargbo Chiefdom,Jimmi CHC,CHC,Mattru Village,653,Mattru Court Barray,Outreach
Bo District,Bargbo Chiefdom,Jimmi CHC,CHC,Waiima Village,102,Jimmi CHC,Fixed
Bo District,Bargbo Chiefdom,Kakama MCHP,MCHP,Gibina,400,Kakama MCHP,Fixed
Bo District,Bargbo Chiefdom,Kakama MCHP,MCHP,Gordie,300,Kpawama Court Barray,Outreach
Bo District,Bargbo Chiefdom,Kakama MCHP,MCHP,Kakama,1433,Kakama MCHP,Fixed
Bo District,Bargbo Chiefdom,Kakama MCHP,MCHP,Kpawama,1500,Kpawama Court Barray,Outreach
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Bumpewo,290,Kassemchp,Outreach
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Deima,298,Ngolapon Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Gbenya,294,Lagawo Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Kasse,396,Kassemchp,Outreach
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Lagowa,296,Lagawo Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Lagowo,296,Lagawo Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Mogbom,298,Kassemchp,Outreach
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Mohapewa,285,Ngolapon Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Mokoba,297,Kassemchp,Outreach
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Ngolapon,250,Ngolapon Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Njala,50,Ngolapon Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Panguma,17,Lagawo Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Yeashan,298,Kassemchp,Outreach
Bo District,Bargbo Chiefdom,Limba CHP,CHP,,,,
Bo District,Bargbo Chiefdom,Mano Yorgbo MCHP,MCHP,Dandabu,516,Dandabu Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Mano Yorgbo MCHP,MCHP,Mano Old,508,Mano- Yorgbo MCHP,Fixed
Bo District,Bargbo Chiefdom,Mano Yorgbo MCHP,MCHP,Mano- Yorgbo,1094,Mano- Yorgbo MCHP,Fixed
Bo District,Bargbo Chiefdom,Mano Yorgbo MCHP,MCHP,Mondorkor,820,Mano- Yorgbo MCHP,Fixed
Bo District,Bargbo Chiefdom,Mano Yorgbo MCHP,MCHP,Njagbema,128,Dandabu Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Mano Yorgbo MCHP,MCHP,Semabu,185,Dandabu Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Mano Yorgbo MCHP,MCHP,Torkpumbu,125,Mano- Yorgbo MCHP,Fixed
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Fola,203,Ngolawoma Court Barray,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Jujuhun,325,Yengelleh Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Kortulablama,504,Momado,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Mailiewa,432,Momajo CHP,Fixed
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Manibo,201,Momajo CHP,Fixed
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Modambie,296,Ngolawoma Court Barray,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Mojeima,432,Momajo CHP,Fixed
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Mokabay1,109,Yengelleh Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Mokabay2,254,Yengelleh Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Momado,200,Momado,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Momajo,459,Momajo CHP,Fixed
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Mosagbahun,321,Ngolawoma Court Barray,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Moway,309,Ngolawoma Court Barray,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Ngeiyahun,191,Yengelleh Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Ngolawoma,543,Ngolawoma Court Barray,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Niagorehun,114,Ngolawoma Court Barray,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Sembehun,215,Ngolawoma Court Barray,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Tamuma,508,Ngolawoma Court Barray,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Tengbeleh,410,Momado,Outreach
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Tissana Junction,128,Momajo CHP,Fixed
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Tissana Old Town,457,Momajo CHP,Fixed
