district,chiefdom,phu,facility_type,community,population_2023
Bo District,Bo City,Brima Town CHP,CHP,Gbaiima Road,560
Bo District,Bo City,Brima Town CHP,CHP,Part of New York,1000
Bo District,Bo City,Brima Town CHP,CHP,Reservation,1000
Bo District,Bo City,Brima Town CHP,CHP,EDC Unit Community,640
Bo District,Bo City,Brima Town CHP,CHP,Gbaiima Road,1230
Bo District,Bo City,Brima Town CHP,CHP,Jagboima -Quarter,2953
Bo District,Bo City,Brima Town CHP,CHP,Part of Nikibu,1905
Bo District,Bo City,EDC Unit CHP,CHP,,
Bo District,Bo City,Favour MCHP,MCHP,,
Bo District,Bo City,Gbanja Town MCHP,MCHP,,
Bo District,Bo City,Gbotima CHP,CHP,Gbotima CHP,2310
Bo District,Bo City,Gbotima CHP,CHP,Bo No 2 Extension,2000
Bo District,Bo City,Gbotima CHP,CHP,Bandajuma,996
Bo District,Bo City,Gbotima CHP,CHP,Baoma,500
Bo District,Bo City,Gbotima CHP,CHP,Upper Samamie Section,2500
Bo District,Bo City,Gbotima CHP,CHP,Boborkumbo,600
Bo District,Bo City,Gbotima CHP,CHP,Ngegbayama,500
Bo District,Bo City,Gbotima CHP,CHP,Ngegbayama Layout,800
Bo District,Bo City,Gbotima CHP,CHP,Bandajuma Extension,1460
Bo District,Bo City,Gbotima CHP,CHP,Nduivuibu,923
Bo District,Bo City,Gbotima CHP,CHP,Victor Town,525
Bo District,Bo City,Gbotima CHP,CHP,Gbitima,869
Bo District,Bo City,Gbotima CHP,CHP,Sembehun Tibuima,1846
Bo District,Bo City,Gbotima CHP,CHP,Tongiema,652
Bo District,Bo City,Genda CHP,CHP,,
Bo District,Bo City,Genda MCHP,MCHP,,
Bo District,Bo City,Haikel CHP,CHP,Haikel Community,1970
Bo District,Bo City,Haikel CHP,CHP,Mount Pleansent,760
Bo District,Bo City,Haikel CHP,CHP,Kpetewoma,988
Bo District,Bo City,Haikel CHP,CHP,Gborbu,802
Bo District,Bo City,Haikel CHP,CHP,Sammie 1 Community,734
Bo District,Bo City,Haikel CHP,CHP,Gbangema,650
Bo District,Bo City,Haikel CHP,CHP,SALWACO,560
Bo District,Bo City,Haikel CHP,CHP,Sami 2,600
Bo District,Bo City,Haikel CHP,CHP,Gogoima,680
Bo District,Bo City,Haikel CHP,CHP,New England Upper,1500
Bo District,Bo City,Haikel CHP,CHP,New England Lower,1000
Bo District,Bo City,Haikel CHP,CHP,Tipper Ground,500
Bo District,Bo City,Haikel CHP,CHP,Knedeyeila Road,292
Bo District,Bo City,Haikel CHP,CHP,New England Extension,2500
Bo District,Bo City,Haikel CHP,CHP,Holy Mary,500
Bo District,Bo City,Haikel CHP,CHP,Kendeyeilla,1400
Bo District,Bo City,Haikel CHP,CHP,Kamara Town,985
Bo District,Bo City,Haikel CHP,CHP,Hill Station,1180
Bo District,Bo City,Haikel CHP,CHP,SALWACO,1340
Bo District,Bo City,Haikel CHP,CHP,Ahmediyya Section,2704
Bo District,Bo City,Haikel CHP,CHP,Toyella,160
Bo District,Bo City,Kakua Static CHC,CHC,Reservation,6514
Bo District,Bo City,Kakua Static CHC,CHC,Kortugbuma,4045
Bo District,Bo City,Kakua Static CHC,CHC,Mission Road,1360
Bo District,Bo City,Kakua Static CHC,CHC,Part of Hanga Town,3508
Bo District,Bo City,Kakua Static CHC,CHC,Gbaiima Road,3405
Bo District,Bo City,Kakua Static CHC,CHC,Bo School  Quarters,1200
Bo District,Bo City,Kakua Static CHC,CHC,Nikibu,700
Bo District,Bo City,Kakua Static CHC,CHC,Mattru Road,1270
Bo District,Bo City,Kandeh Town CHP,CHP,Kandeh Town 1,2437
Bo District,Bo City,Kandeh Town CHP,CHP,Kandeh  Town 2,1500
Bo District,Bo City,Kandeh Town CHP,CHP,Kandeh Town Extension,3000
Bo District,Bo City,Kandeh Town CHP,CHP,Torwama Road,1000
Bo District,Bo City,Kandeh Town CHP,CHP,Banga Farm,1250
Bo District,Bo City,Kandeh Town CHP,CHP,Tewouloma,2000
Bo District,Bo City,Kandeh Town CHP,CHP,Banga Farm,900
Bo District,Bo City,Kandeh Town CHP,CHP,Kushe Town Extension,350
